X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
1107,Aceh,Aceh Barat,Aceh Barat (ABAR),8.23,null,null,null,null,null,null,228,228,0,43,41,2,1055,305,693,57,null,Tanggal,9/18/2021,2928,189119,65,71.06,65.69,5.37,31.2,0.26,557.85,396.58,580.59,419.31,55.85,14.48,0.12,0.2,1.89,6.35,8.23,161.27,Asumsi PDP &gt; Pos,35
1112,Aceh,Aceh Barat Daya,Aceh Barat Daya (ABDYA),6.96,null,null,null,null,null,null,202,202,0,51,45,4,374,37,309,28,null,Tanggal,9/18/2021,1491,148687,100,90.15,82.62,7.53,21.52,0.68,251.54,226.65,285.84,259.61,46.39,11.39,0.12,0.19,1.22,5.75,6.96,24.88,Asumsi Suspect &gt; Pos,30
1108,Aceh,Aceh Besar,Aceh Besar (ABES),11.41,null,null,null,null,null,null,183,183,0,25,24,1,5614,854,4501,259,null,Tanggal,9/18/2021,2969,384661,130,84.79,80.17,4.61,67.59,0.04,1459.47,1237.45,1465.97,1243.95,82.21,24.94,0.13,0.21,3.63,7.78,11.41,222.01,Asumsi Tracing (exp),3
1116,Aceh,Aceh Jaya,Aceh Jaya (AJAY),7.4,null,null,null,null,null,null,182,182,0,2,2,0,468,56,388,24,null,Tanggal,9/18/2021,3813,86058,23,88.01,82.91,5.11,27.89,0.39,543.82,478.75,546.14,481.07,52.81,15.51,0.17,0.28,1.02,6.39,7.4,65.07,Asumsi Tracing (used),5
1103,Aceh,Aceh Selatan,Aceh Selatan (ASEL),8.95,null,null,null,null,null,null,277,273,0,9,2,7,884,126,688,70,null,Tanggal,9/18/2021,3842,230254,60,86.45,77.83,8.62,33.44,0.32,383.92,329.2,387.83,333.11,57.83,12.91,0.12,0.19,1.83,7.12,8.95,54.72,null,null
1102,Aceh,Aceh Singkil,Aceh Singkil (SKL),6.8,null,null,null,null,null,null,7,7,0,3,3,0,712,35,644,33,null,Tanggal,9/18/2021,2185,129963,59,95.06,90.45,4.62,25.39,0.01,547.85,520.92,550.16,523.23,50.39,16.17,0.13,0.22,2.37,4.43,6.8,26.93,null,null
1114,Aceh,Aceh Tamiang,Aceh Tamiang (ATAM),9.93,null,null,null,null,null,null,335,335,0,9,8,1,1725,147,1452,126,null,Tanggal,9/18/2021,1957,287733,147,91.5,84.17,7.32,44.14,0.2,599.51,548.43,602.64,551.55,66.44,16.61,0.12,0.2,2.86,7.07,9.93,51.09,null,null
1106,Aceh,Aceh Tengah,Aceh Tengah (ATENG),8.23,null,null,null,null,null,null,284,284,0,31,22,8,1332,100,1168,64,null,Tanggal,9/18/2021,4318,208407,48,92.97,87.69,5.28,34.55,0.24,639.13,591.15,654.01,605.55,58.78,17.4,0.12,0.2,2.43,5.8,8.23,47.98,null,null
1104,Aceh,Aceh Tenggara,Aceh Tenggara (AGARA),3.6,null,null,null,null,null,null,306,306,0,1,0,1,354,78,262,14,null,Tanggal,9/18/2021,4231,221684,52,78.24,74.01,4.23,6.77,0.87,159.69,124.5,160.14,124.95,26.01,7.9,0.05,0.09,2.2,1.4,3.6,35.19,null,null
1105,Aceh,Aceh Timur,Aceh Timur (ATIM),4.59,null,null,null,null,null,null,189,189,0,108,100,8,492,190,272,30,null,Tanggal,9/18/2021,6286,422261,67,61.62,55.28,6.33,9,0.6,116.52,71.52,142.09,97.1,30,6.97,0.04,0.07,0.93,3.67,4.59,45,null,null
1111,Aceh,Aceh Utara,Aceh Utara (ACUT),6.33,null,null,null,null,null,null,399,399,0,5,0,5,993,173,732,88,null,Tanggal,9/18/2021,3237,575895,178,83.03,73.72,9.32,16.15,0.41,172.43,142.39,173.3,143.26,40.19,8.46,0.05,0.08,1.38,4.95,6.33,30.04,null,null
1171,Aceh,Banda Aceh,Banda Aceh (BNA),13.56,null,null,null,null,null,null,984,984,0,48,19,18,11664,2019,9357,288,null,Tanggal,9/18/2021,61,238814,3892,82.83,80.22,2.61,128.13,0.09,4884.14,4038.71,4904.24,4054.2,113.2,45.02,0.22,0.37,2.83,10.73,13.56,845.43,null,null
1117,Aceh,Bener Meriah,Bener Meriah (BM),5.58,null,null,null,null,null,null,101,101,0,31,25,6,489,62,408,19,null,Tanggal,9/18/2021,1454,154509,106,88.24,83.44,4.81,16.18,0.27,316.49,276.36,336.55,296.42,40.22,12.17,0.1,0.16,1.07,4.51,5.58,40.13,null,null
1110,Aceh,Bireuen,Bireun (BRN),6.27,null,null,null,null,null,null,2191,2191,0,17,10,3,1667,135,1448,84,null,Tanggal,9/18/2021,1901,432870,228,92.03,86.86,5.17,20.1,1.32,385.1,353.92,389.03,356.92,44.83,13.36,0.07,0.11,1.37,4.91,6.27,31.19,null,null
1113,Aceh,Gayo Lues,Gayo Lues (GALUS),7.05,null,null,null,null,null,null,61,61,0,3,0,0,638,43,568,27,null,Tanggal,9/18/2021,5720,95370,17,93.24,89.03,4.21,28.31,0.1,668.97,623.89,672.12,623.89,53.21,17.66,0.16,0.27,3.71,3.34,7.05,45.09,null,null
1173,Aceh,Langsa,Langsa (LGS),10.74,null,null,null,null,null,null,540,540,0,1,0,1,1097,35,971,91,null,Tanggal,9/18/2021,262,182424,695,96.89,88.51,8.38,50.43,0.49,601.35,582.16,601.89,582.71,71.02,17.07,0.16,0.26,4.16,6.58,10.74,19.19,null,null
1174,Aceh,Lhokseumawe,Lhokseumawe (LSM),9.04,null,null,null,null,null,null,1684,1684,0,5,0,5,1630,90,1463,77,null,Tanggal,9/18/2021,181,190624,1053,94.77,89.75,5.02,43.02,1.04,855.09,807.87,857.71,810.5,65.59,20.13,0.15,0.24,2.32,6.72,9.04,47.21,null,null
1115,Aceh,Nagan Raya,Nagan Raya (NAGAN),8.75,null,null,null,null,null,null,270,270,0,335,305,1,524,43,423,58,null,Tanggal,9/18/2021,3364,167672,50,87.59,80.73,6.87,35.19,1.15,312.51,286.87,512.31,469.37,59.32,15.32,0.14,0.23,2.57,6.18,8.75,25.65,null,null
1109,Aceh,Pidie,Pidie (PIDIE),11.5,null,null,null,null,null,null,717,717,0,50,47,3,2441,273,1934,234,null,Tanggal,9/18/2021,3087,437740,142,88.74,79.23,9.51,54.14,0.31,557.64,495.27,569.06,506.69,73.58,15.92,0.11,0.18,2.86,8.64,11.5,62.37,1,500
1118,Aceh,Pidie Jaya,Pidie Jaya (PIJAY),6.09,null,null,null,null,null,null,659,659,0,0,0,0,748,26,689,33,null,Tanggal,9/18/2021,1074,157588,147,96.52,92.11,4.41,20.94,0.88,474.66,458.16,474.66,458.16,45.76,15.14,0.11,0.18,0.82,5.27,6.09,16.5,1,403.98
1172,Aceh,Sabang,Sabang (SBG),16.35,null,null,null,null,null,null,111,111,0,52,48,4,526,94,390,42,null,Tanggal,9/18/2021,153,40040,262,82.1,74.14,7.96,114.89,0.31,1313.69,1078.92,1443.56,1208.79,107.18,24.58,0.51,0.85,3.61,12.74,16.35,234.77,2,326.41
1101,Aceh,Simeulue,Simeulue (SMLU),5.8,null,null,null,null,null,null,4,4,0,54,52,1,376,58,302,16,null,Tanggal,9/18/2021,2051,89327,44,84.27,80.32,3.95,19.03,0.15,420.93,356,481.38,415.33,43.62,14.41,0.14,0.23,0.97,4.83,5.8,64.93,2,263.73
1175,Aceh,Subulussalam,Subulussalam (SBLM),6.22,null,null,null,null,null,null,16,16,0,7,7,0,229,16,198,15,null,Tanggal,9/18/2021,1391,81187,58,92.82,86.46,6.36,18.48,0.1,282.06,262.36,290.69,270.98,42.98,11.64,0.14,0.24,1.89,4.33,6.22,19.71,2,213.08
5103,Bali,Badung,null,13.23,null,null,null,null,null,null,null,null,null,null,null,null,19187,1366,17254,567,null,Tanggal,9/18/2021,419,468346,1119,92.88,89.93,2.96,121.06,0,4096.76,3805.09,4096.76,3805.09,110.03,43.62,0.15,0.25,3.82,9.41,13.23,291.66,3,172.16
5106,Bali,Bangli,null,11.69,null,null,null,null,null,null,null,null,null,null,null,null,4644,372,4071,201,null,Tanggal,9/18/2021,491,264945,540,91.99,87.66,4.33,75.86,0,1752.82,1612.41,1752.82,1612.41,87.1,28.39,0.16,0.27,2.25,9.43,11.69,140.41,4,139.1
5108,Bali,Buleleng,null,10.94,null,null,null,null,null,null,null,null,null,null,null,null,10309,116,9674,519,null,Tanggal,9/18/2021,1365,814356,597,98.87,93.84,5.03,63.73,0,1265.91,1251.66,1265.91,1251.66,79.83,25.02,0.08,0.14,3.17,7.77,10.94,14.24,4,112.39
5171,Bali,Denpasar,null,12.93,null,null,null,null,null,null,null,null,null,null,null,null,34882,802,33213,867,null,Tanggal,9/18/2021,128,638548,4997,97.7,95.22,2.49,135.78,0,5462.71,5337.11,5462.71,5337.11,116.52,51.66,0.14,0.23,3.54,9.39,12.93,125.6,6,90.81
